feature_index,feature_name,importance_gain
6091,p20basepair.Hbond.energyraw,0.027617667
6092,p20basepair.Hlgap.eVEraw,0.023195544
2849,V299.xsgRNA.raw,0.01915739
287,V1110.xsgRNA.raw,0.010573588
6068,p19dimer.Hbond.energyraw,0.009468873
6055,p18dimer.Hbond.energyraw,0.008667111
335,V1131.xsgRNA.raw,0.0073998636
6069,p19dimer.Hbond.stackingraw,0.007244116
5275,V73.xsgRNA.raw,0.006614192
6060,p18monomer.No.electronsraw,0.006408879
2745,V291.xsgRNA.raw,0.0062942067
2581,V279.xsgRNA.raw,0.006002678
203,V1076.xsgRNA.raw,0.0057449657
1941,V231.xsgRNA.raw,0.004696676
16,sgRNA.gcsgRNA.raw,0.004535492
6070,p19dimer.HLgap.eVEraw,0.0045216726
6062,p18trimer.Hbond.stackingraw,0.004332388
2909,V303.xsgRNA.raw,0.0043152585
293,V1113.xsgRNA.raw,0.004167185
1725,V215.xsgRNA.raw,0.0038520044
2516,V274.xsgRNA.raw,0.0037523746
6042,p17monomer.HLgap.eVraw,0.0037099856
5251,V72.xsgRNA.raw,0.0037060282
5447,V80.xsgRNA.raw,0.0035990295
282,V1109.xsgRNA.raw,0.0035369145
6052,p18basepair.Hbond.energyraw,0.0034195709
5127,V67.xsgRNA.raw,0.0032877726
4835,V55.xsgRNA.raw,0.0030874244
3962,V3878sgRNA.raw,0.0030621921
6053,p18basepair.Hlgap.eVEraw,0.003057179
7,CCsgRNA.raw,0.0030317383
4859,V56.xsgRNA.raw,0.0029528406
278,V1107.xsgRNA.raw,0.002951847
4931,V59.xsgRNA.raw,0.0029360468
6056,p18dimer.Hbond.stackingraw,0.0028734733
2287,V257.xsgRNA.raw,0.0028448568
5299,V74.xsgRNA.raw,0.002576359
22,TsgRNA.raw,0.0025552642
5942,p11tetramer.Hbond.energyraw,0.0025523945
230,V1088.xsgRNA.raw,0.0025405083
2676,V286.xsgRNA.raw,0.0024731837
322,V1126.xsgRNA.raw,0.002433667
5912,PAM.C0,0.0024012127
2810,V296.xsgRNA.raw,0.0023248063
2935,V305.xsgRNA.raw,0.00230195
4487,V4299sgRNA.raw,0.0022898777
1158,V172sgRNA.raw,0.0022255464
5384,V775.xsgRNA.raw,0.002222841
13,GGsgRNA.raw,0.0022154911
3703,V3669sgRNA.raw,0.0022139966
5371,V77.xsgRNA.raw,0.002192352
2114,V244.xsgRNA.raw,0.0021777367
