feature_name,number_of_seed_folds_selected,out_of_total_seed_folds
p20basepair.Hlgap.eVEraw,25,25
p20basepair.Hbond.energyraw,25,25
p19dimer.Hbond.energyraw,25,25
V279.xsgRNA.raw,25,25
p18dimer.Hbond.energyraw,25,25
V73.xsgRNA.raw,25,25
p19dimer.Hbond.stackingraw,25,25
V1110.xsgRNA.raw,25,25
sgRNA.tempsgRNA.raw,25,25
p19dimer.HLgap.eVEraw,25,25
p18basepair.Hbond.energyraw,25,25
p18trimer.Hbond.energyraw,25,25
V231.xsgRNA.raw,25,25
V303.xsgRNA.raw,25,25
V215.xsgRNA.raw,25,25
V67.xsgRNA.raw,25,25
p18trimer.Hbond.stackingraw,25,25
V305.xsgRNA.raw,25,25
V1109.xsgRNA.raw,25,25
V56.xsgRNA.raw,25,25
p17trimer.Hbond.stackingraw,25,25
sgRNA.gcsgRNA.raw,25,25
CCsgRNA.raw,25,25
V172sgRNA.raw,25,25
V257.xsgRNA.raw,25,25
V273.xsgRNA.raw,25,25
V72.xsgRNA.raw,25,25
p18dimer.Hbond.stackingraw,25,25
V80.xsgRNA.raw,25,25
V3878sgRNA.raw,25,25
V74.xsgRNA.raw,25,25
V44.x.xsgRNA.raw,25,25
V1026.xsgRNA.raw,25,25
p15dimer.Hbond.stackingraw,25,25
V296.xsgRNA.raw,25,25
p17monomer.HLgap.eVraw,25,25
GGsgRNA.raw,25,25
p13tetramer.Hbond.energyraw,25,25
V4299sgRNA.raw,25,25
V961.xsgRNA.raw,25,25
TsgRNA.raw,25,25
V1137.xsgRNA.raw,25,25
V244.xsgRNA.raw,25,25
V1140.xsgRNA.raw,25,25
V971.xsgRNA.raw,25,25
p20monomer.No.electronsraw,25,25
V255.xsgRNA.raw,25,25
p11tetramer.Hbond.energyraw,25,25
p18basepair.Hlgap.eVEraw,25,25
V30.xsgRNA.raw,25,25
V1153.xsgRNA.raw,25,25
p1trimer.Hbond.energyraw,25,25
V3669sgRNA.raw,25,25
V1079.xsgRNA.raw,25,25
V61.xsgRNA.raw,25,25
V150.xsgRNA.raw,25,25
p17basepair.Hbond.energyraw,25,25
V59.xsgRNA.raw,24,25
p18monomer.No.electronsraw,24,25
PAM.C0,24,25
V278.xsgRNA.raw,24,25
V55.xsgRNA.raw,24,25
V284.xsgRNA.raw,24,25
V145.xsgRNA.raw,24,25
p15tetramer.Hbond.stackingraw,24,25
p16trimer.Hbond.energyraw,24,25
V1024.xsgRNA.raw,24,25
V4189sgRNA.raw,24,25
p1tetramer.Hbond.energyraw,24,25
V243.xsgRNA.raw,24,25
V291.xsgRNA.raw,23,25
V254.xsgRNA.raw,23,25
p17dimer.Hbond.energyraw,23,25
V208.xsgRNA.raw,23,25
V124.xsgRNA.raw,23,25
p15dimer.HLgap.eVEraw,23,25
V981.xsgRNA.raw,23,25
V931.xsgRNA.raw,22,25
p16dimer.Hbond.stackingraw,22,25
p8monomer.HLgap.eVraw,22,25
V41.xsgRNA.raw,22,25
p11basepair.Hbond.energyraw,22,25
p15tetramer.Hbond.energyraw,22,25
V293.xsgRNA.raw,22,25
V4181sgRNA.raw,22,25
V1091.xsgRNA.raw,22,25
V234.xsgRNA.raw,22,25
p17tetramer.Hbond.energyraw,22,25
p19monomer.HLgap.eVraw,21,25
p16monomer.HLgap.eVraw,21,25
V195.xsgRNA.raw,21,25
V32.xsgRNA.raw,21,25
V4099sgRNA.raw,21,25
V4043sgRNA.raw,21,25
V3911sgRNA.raw,21,25
PAM.G0,21,25
p15trimer.Hbond.stackingraw,21,25
p15monomer.No.electronsraw,20,25
V1099.xsgRNA.raw,20,25
V1113.xsgRNA.raw,20,25
V514.ysgRNA.raw,20,25
V577.xsgRNA.raw,20,25
V39.xsgRNA.raw,20,25
p16tetramer.Hbond.stackingraw,20,25
p17trimer.Hbond.energyraw,20,25
V1150.xsgRNA.raw,20,25
V77.xsgRNA.raw,19,25
